"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
180,3 Dec 2023 00:01:47.692,3 Dec 2023 00:11:16.946,569.253
181,3 Dec 2023 01:58:03.701,3 Dec 2023 02:16:49.231,1125.530
182,3 Dec 2023 03:56:50.344,3 Dec 2023 04:20:53.561,1443.217
183,3 Dec 2023 05:56:48.357,3 Dec 2023 06:24:00.856,1632.499
184,3 Dec 2023 07:58:14.005,3 Dec 2023 08:25:04.253,1610.248
185,3 Dec 2023 10:03:32.160,3 Dec 2023 10:21:52.703,1100.544
186,4 Dec 2023 00:42:51.939,4 Dec 2023 00:56:48.946,837.008
187,4 Dec 2023 02:40:42.880,4 Dec 2023 03:01:08.779,1225.899
188,4 Dec 2023 04:40:01.836,4 Dec 2023 05:04:46.732,1484.895
189,4 Dec 2023 06:40:29.267,4 Dec 2023 07:07:03.166,1593.899
190,4 Dec 2023 08:43:09.171,4 Dec 2023 09:06:28.285,1399.114
191,4 Dec 2023 23:28:48.145,4 Dec 2023 23:36:00.017,431.873
192,5 Dec 2023 01:24:52.828,5 Dec 2023 01:41:17.446,984.617
193,5 Dec 2023 03:23:32.451,5 Dec 2023 03:45:06.282,1293.831
194,5 Dec 2023 05:23:17.540,5 Dec 2023 05:48:09.367,1491.827
195,5 Dec 2023 07:24:29.141,5 Dec 2023 07:49:14.259,1485.118
196,5 Dec 2023 09:29:54.179,5 Dec 2023 09:45:44.789,950.610
197,6 Dec 2023 00:09:28.307,6 Dec 2023 00:21:19.124,710.817
198,6 Dec 2023 02:07:16.499,6 Dec 2023 02:25:16.103,1079.604
199,6 Dec 2023 04:06:27.134,6 Dec 2023 04:28:39.866,1332.732
200,6 Dec 2023 06:06:42.365,6 Dec 2023 06:30:51.716,1449.351
201,6 Dec 2023 08:09:15.747,6 Dec 2023 08:30:10.904,1255.157
202,6 Dec 2023 22:55:19.355,6 Dec 2023 23:00:24.657,305.302
203,7 Dec 2023 00:51:13.962,7 Dec 2023 01:05:26.885,852.923
204,7 Dec 2023 02:49:50.599,7 Dec 2023 03:08:52.754,1142.155
205,7 Dec 2023 04:49:26.965,7 Dec 2023 05:11:42.320,1335.355
206,7 Dec 2023 06:50:29.965,7 Dec 2023 07:12:39.677,1329.712
207,7 Dec 2023 08:56:25.272,7 Dec 2023 09:08:27.524,722.252
208,7 Dec 2023 23:35:32.930,7 Dec 2023 23:45:35.126,602.196
209,8 Dec 2023 01:33:23.523,8 Dec 2023 01:49:04.043,940.520
210,8 Dec 2023 03:32:30.260,8 Dec 2023 03:52:05.301,1175.041
211,8 Dec 2023 05:32:38.281,8 Dec 2023 05:54:02.883,1284.602
212,8 Dec 2023 07:35:14.750,8 Dec 2023 07:53:03.589,1068.840
213,8 Dec 2023 22:21:12.923,8 Dec 2023 22:24:39.130,206.207
214,9 Dec 2023 00:17:04.983,9 Dec 2023 00:29:22.242,737.259
215,9 Dec 2023 02:15:43.924,9 Dec 2023 02:32:18.958,995.034
216,9 Dec 2023 04:15:16.516,9 Dec 2023 04:34:45.965,1169.449
217,9 Dec 2023 06:16:17.859,9 Dec 2023 06:35:24.666,1146.807
218,9 Dec 2023 08:24:02.164,9 Dec 2023 08:29:08.613,306.449
219,9 Dec 2023 23:01:01.545,9 Dec 2023 23:09:41.927,520.381
220,10 Dec 2023 00:59:02.388,10 Dec 2023 01:12:37.674,815.286
221,10 Dec 2023 02:58:10.736,10 Dec 2023 03:15:09.337,1018.601
222,10 Dec 2023 04:58:17.625,10 Dec 2023 05:16:42.536,1104.911
223,10 Dec 2023 07:01:12.976,10 Dec 2023 07:15:05.287,832.311
224,10 Dec 2023 21:46:04.974,10 Dec 2023 21:49:06.600,181.626
225,10 Dec 2023 23:42:22.963,10 Dec 2023 23:53:07.989,645.026
226,11 Dec 2023 01:41:11.298,11 Dec 2023 01:55:30.381,859.083
227,11 Dec 2023 03:40:46.243,11 Dec 2023 03:57:26.651,1000.409
228,11 Dec 2023 05:41:55.539,11 Dec 2023 05:57:33.276,937.736
229,11 Dec 2023 22:25:48.489,11 Dec 2023 22:33:45.055,476.566
230,12 Dec 2023 00:24:10.838,12 Dec 2023 00:36:01.589,710.750
231,12 Dec 2023 02:23:27.897,12 Dec 2023 02:37:57.759,869.862
232,12 Dec 2023 04:23:41.573,12 Dec 2023 04:38:56.337,914.763
233,12 Dec 2023 06:27:32.120,12 Dec 2023 06:36:01.304,509.184
234,12 Dec 2023 21:09:43.393,12 Dec 2023 21:13:58.000,254.607
235,12 Dec 2023 23:07:03.929,12 Dec 2023 23:16:48.534,584.605
236,13 Dec 2023 01:06:10.984,13 Dec 2023 01:18:31.868,740.884
237,13 Dec 2023 03:05:56.216,13 Dec 2023 03:19:50.059,833.843
238,13 Dec 2023 05:07:29.122,13 Dec 2023 05:19:06.545,697.423
239,13 Dec 2023 21:49:48.775,13 Dec 2023 21:57:48.597,479.822
240,13 Dec 2023 23:48:45.590,13 Dec 2023 23:59:20.060,634.470
241,14 Dec 2023 01:48:20.520,14 Dec 2023 02:00:35.537,735.017
242,14 Dec 2023 03:48:52.309,14 Dec 2023 04:00:48.310,716.001
243,14 Dec 2023 20:32:32.421,14 Dec 2023 20:38:47.633,375.211
244,14 Dec 2023 22:31:03.582,14 Dec 2023 22:40:27.542,563.960
245,15 Dec 2023 00:30:40.083,15 Dec 2023 00:41:27.782,647.700
246,15 Dec 2023 02:30:46.206,15 Dec 2023 02:42:00.654,674.449
247,15 Dec 2023 04:33:19.796,15 Dec 2023 04:39:49.804,390.009
248,15 Dec 2023 19:15:58.260,15 Dec 2023 19:18:54.521,176.261
249,15 Dec 2023 21:13:01.612,15 Dec 2023 21:21:51.865,530.253
250,15 Dec 2023 23:12:42.453,15 Dec 2023 23:22:36.874,594.421
251,16 Dec 2023 01:12:46.125,16 Dec 2023 01:23:07.044,620.919
252,16 Dec 2023 03:13:54.713,16 Dec 2023 03:22:18.209,503.495
253,16 Dec 2023 19:54:45.035,16 Dec 2023 20:03:21.041,516.007
254,16 Dec 2023 21:54:19.224,16 Dec 2023 22:04:06.172,586.948
255,16 Dec 2023 23:54:34.318,17 Dec 2023 00:04:22.228,587.910
256,17 Dec 2023 01:55:15.171,17 Dec 2023 02:04:01.757,526.586
257,17 Dec 2023 18:36:30.868,17 Dec 2023 18:44:32.193,481.325
258,17 Dec 2023 20:35:30.267,17 Dec 2023 20:45:49.788,619.522
259,17 Dec 2023 22:35:57.710,17 Dec 2023 22:45:54.196,596.486
260,18 Dec 2023 00:36:40.264,18 Dec 2023 00:45:36.775,536.511
261,18 Dec 2023 02:39:09.010,18 Dec 2023 02:43:08.361,239.350
262,18 Dec 2023 17:19:05.146,18 Dec 2023 17:24:34.597,329.452
263,18 Dec 2023 19:16:24.317,18 Dec 2023 19:27:33.944,669.627
264,18 Dec 2023 21:16:51.181,18 Dec 2023 21:27:42.003,650.822
265,18 Dec 2023 23:17:48.880,18 Dec 2023 23:27:18.414,569.535
266,19 Dec 2023 01:19:19.994,19 Dec 2023 01:25:56.674,396.680
267,19 Dec 2023 17:57:17.237,19 Dec 2023 18:08:59.729,702.492
268,19 Dec 2023 19:57:18.825,19 Dec 2023 20:09:36.521,737.696
269,19 Dec 2023 21:58:29.943,19 Dec 2023 22:09:11.006,641.063
270,19 Dec 2023 23:59:56.465,20 Dec 2023 00:08:09.531,493.066
271,20 Dec 2023 16:38:35.607,20 Dec 2023 16:49:39.093,663.486
272,20 Dec 2023 18:37:31.484,20 Dec 2023 18:51:24.572,833.088
273,20 Dec 2023 20:38:41.836,20 Dec 2023 20:51:10.312,748.477
274,20 Dec 2023 22:40:20.636,20 Dec 2023 22:50:16.755,596.119
275,21 Dec 2023 00:42:52.328,21 Dec 2023 00:47:52.019,299.691
276,21 Dec 2023 15:21:34.100,21 Dec 2023 15:28:15.275,401.174
277,21 Dec 2023 17:17:45.287,21 Dec 2023 17:32:50.550,905.263
278,21 Dec 2023 19:18:30.621,21 Dec 2023 19:33:07.454,876.832
279,21 Dec 2023 21:20:20.313,21 Dec 2023 21:32:23.286,722.973
280,21 Dec 2023 23:22:28.750,21 Dec 2023 23:30:48.285,499.535
281,22 Dec 2023 15:58:23.711,22 Dec 2023 16:13:32.696,908.985
282,22 Dec 2023 17:58:08.356,22 Dec 2023 18:14:51.631,1003.275
283,22 Dec 2023 19:59:54.060,22 Dec 2023 20:14:26.214,872.154
284,22 Dec 2023 22:02:09.612,22 Dec 2023 22:13:13.844,664.232
285,23 Dec 2023 00:05:34.785,23 Dec 2023 00:10:01.914,267.129
